dataset	field	threshold	lower_interval_em	distance	higher_interval_em	lower_interval_f1	distance	higher_interval_f1	samples	sample_size	len_lower	len_higher	lower_em_list	higher_em_list	lower_f1_list	higher_f1_list
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	83.75	lower	89.89791489828252	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	69.25	higher	77.62981390557856	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	81.5	lower	88.83939331840814	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	67.75	higher	77.27498886255444	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	83.0	lower	90.26765585131278	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	66.75	higher	76.81510655333041	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	81.5	lower	89.3549075890036	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	68.875	higher	77.21591095519562	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	84.5	lower	90.31828542612966	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	68.0	higher	77.71228079706093	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	84.75	lower	91.3643384554005	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	67.75	higher	77.07362793146888	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	81.75	lower	89.29772349271867	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	70.125	higher	79.32975591073577	higher
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	84.125	lower	90.91781992224682	lower
squad_base	distances	7	<79.559375;84.94687499999999>	8.803125000000009	<66.809375;70.75625>	<87.77235558658447;91.40152502752235>	8.320067159352774	<76.22736557912646;79.4522884272317>	100	800	8768	1651	66.625	higher	76.04794309631316	higher
